"compound_name","matched_name","final_result","CID","IUPACName","MolecularFormula","MolecularWeight","KEGG_ID","HMDB_ID","CHEBI_ID","Similarity","mzcloud_Endogenous_info"
"2-methylpentanoate","2-methylpentanoate",TRUE,22174055,"2-methylpentanoate","C6H11O2-",115.15,"Not_Access","Not_Access","167611",1,"Endogenous Metabolites"
"Succinate","Succinate",TRUE,160419,"butanedioate","C4H4O4-2",116.07,"Not_Access","Not_Access","30031",1,"Pesticides/Herbicides"
"Methylmalonate","Methylmalonate",TRUE,487,"2-methylpropanedioic acid","C4H6O4",118.09,"C02170","HMDB0000202","30860",1,"Endogenous Metabolites"
"3-hydroxybenzaldehyde","3-hydroxybenzaldehyde",TRUE,101,"3-hydroxybenzaldehyde","C7H6O2",122.12,"C03067","Not_Access","16207",1,"Endogenous Metabolites"
"Benzoic acid","Benzoic acid",TRUE,243,"benzoic acid","C7H6O2",122.12,"C00180","HMDB0001870","30746",1,"Endogenous Metabolites"
"4-Hydroxybenzaldehyde","4-Hydroxybenzaldehyde",TRUE,126,"4-hydroxybenzaldehyde","C7H6O2",122.12,"C00633","HMDB0011718","17597",1,"Endogenous Metabolites"
"p-Toluquinone","p-Toluquinone",TRUE,11122,"2-methylcyclohexa-2,5-diene-1,4-dione","C7H6O2",122.12,"Not_Access","Not_Access","Not_Access",1,NA
"Nicotinamide","Nicotinamide",TRUE,936,"pyridine-3-carboxamide","C6H6N2O",122.12,"C00153","HMDB0001406","17154",1,"Endogenous Metabolites"
"Taurine","Taurine",TRUE,1123,"2-aminoethanesulfonic acid","C2H7NO3S",125.15,"C00245","HMDB0000251","15891",1,"Endogenous Metabolites"
"Pyrogallol","Pyrogallol",TRUE,1057,"benzene-1,2,3-triol","C6H6O3",126.11,"C01108","HMDB0013674","16164",1,"Personal Care Products/Cosmetics"
"Phloroglucinol","Phloroglucinol",TRUE,359,"benzene-1,3,5-triol","C6H6O3",126.11,"C02183","HMDB0013675","16204",1,"Therapeutics/Prescription Drugs"
"Pipecolic acid","Pipecolic acid",TRUE,849,"piperidine-2-carboxylic acid","C6H11NO2",129.16,"Not_Access","HMDB0000070","17964",1,"Endogenous Metabolites"
"Ethylmalonic acid","Ethylmalonic acid",TRUE,11756,"2-ethylpropanedioic acid","C5H8O4",132.11,"Not_Access","HMDB0000622","741548",1,"Industrial Chemicals"
"Glutaric acid","Glutaric acid",TRUE,743,"pentanedioic acid","C5H8O4",132.11,"C00489","HMDB0000661","17859",1,NA
"Methylsuccinic acid","Methylsuccinic acid",TRUE,10349,"2-methylbutanedioic acid","C5H8O4",132.11,"Not_Access","Not_Access","91315",1,"Endogenous Metabolites"
"2-Hydroxyisocaproate","(R)-2-Hydroxyisocaproate",TRUE,439960,"(2R)-2-hydroxy-4-methylpentanoic acid","C6H12O3",132.16,"C03264","HMDB0000624","55534",0.9091,NA
"3-Hydroxyhexanoic acid","3-Hydroxyhexanoic acid",TRUE,151492,"3-hydroxyhexanoic acid","C6H12O3",132.16,"Not_Access","Not_Access","37035",1,"Endogenous Metabolites"
"6-Hydroxyhexanoic acid","6-Hydroxyhexanoic acid",TRUE,14490,"6-hydroxyhexanoic acid","C6H12O3",132.16,"C06103","HMDB0012843","17869",1,"Endogenous Metabolites"
"2-Ethyl-2-hydroxybutyric acid","2-Ethyl-2-hydroxybutyric acid",TRUE,77199,"2-ethyl-2-hydroxybutanoic acid","C6H12O3",132.16,"Not_Access","HMDB0001975","165404",1,"Endogenous Metabolites"
"Norleucine","Norleucine",TRUE,21236,"(2S)-2-aminohexanoic acid","C6H13NO2",131.17,"C01933","HMDB0001645","18347",1,NA
"Isoleucine","Isoleucine",TRUE,6306,"(2S,3S)-2-amino-3-methylpentanoic acid","C6H13NO2",131.17,"C00407","HMDB0000172","17191",1,"Endogenous Metabolites"
"Leucine","Leucine",TRUE,6106,"(2S)-2-amino-4-methylpentanoic acid","C6H13NO2",131.17,"C00123","HMDB0000687","15603",1,"Endogenous Metabolites"
"Creatine","Creatine",TRUE,586,"2-[carbamimidoyl(methyl)amino]acetic acid","C4H9N3O2",131.13,"C00300","HMDB0000064","16919",1,"Endogenous Metabolites"
"Malic acid","Malic acid",TRUE,525,"2-hydroxybutanedioic acid","C4H6O5",134.09,"C00711","Not_Access","6650",1,"Endogenous Metabolites"
"Adenine","Adenine",TRUE,190,"7H-purin-6-amine","C5H5N5",135.13,"C00147","HMDB0000034","16708",1,"Endogenous Metabolites"
"Hypoxanthine","Hypoxanthine",TRUE,135398638,"1,7-dihydropurin-6-one","C5H4N4O",136.11,"C00262","HMDB0000157","17368",1,"Endogenous Metabolites"
"Allopurinol","Allopurinol",TRUE,135401907,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one","C5H4N4O",136.11,"Not_Access","HMDB0014581","40279",1,"Therapeutics/Prescription Drugs"
"N-Phenylacetamide","N-Phenylacetamide",TRUE,904,"N-phenylacetamide","C8H9NO",135.16,"C07565","HMDB0001250","28884",1,NA
"4-Hydroxyphenylacetaldehyde","4-Hydroxyphenylacetaldehyde",TRUE,440113,"2-(4-hydroxyphenyl)acetaldehyde","C8H8O2",136.15,"C03765","HMDB0003767","15621",1,NA
"1-Methylnicotinamide","1-Methylnicotinamide",TRUE,457,"1-methylpyridin-1-ium-3-carboxamide","C7H9N2O+",137.16,"C02918","HMDB0000699","16797",1,"Endogenous Metabolites"
"2-Methylnicotinamide","2-Methylnicotinamide",TRUE,12243705,"2-methylpyridine-3-carboxamide","C7H8N2O",136.15,"Not_Access","HMDB0059711","68440",1,"Endogenous Metabolites"
"Ethyl 2-methyl-3,4-pentadienoate","Ethyl 2-methyl-3,4-pentadienoate",TRUE,62166,NA,"C8H12O2",140.18,"Not_Access","HMDB0037196","195726",1,NA
"Isophorone","Isophorone",TRUE,6544,"3,5,5-trimethylcyclohex-2-en-1-one","C9H14O",138.21,"C14743","HMDB0031195","34800",1,"Endogenous Metabolites"
"N-Acetylcadaverine","N-Acetylcadaverine",TRUE,189087,"N-(5-aminopentyl)acetamide","C7H16N2O",144.21,"Not_Access","HMDB0002284","88824",1,NA
"Ethyl levulinate","Ethyl levulinate",TRUE,10883,"ethyl 4-oxopentanoate","C7H12O3",144.17,"Not_Access","HMDB0040433","169371",1,"Excipients/Additives/Colorants"
"Tetrahydrofurfuryl acetate","Tetrahydrofurfuryl acetate",TRUE,12506,"oxolan-2-ylmethyl acetate","C7H12O3",144.17,"Not_Access","HMDB0031176","169190",1,NA
"7-Oxoheptanoic acid","7-Oxoheptanoic acid",TRUE,169732,"7-oxoheptanoic acid","C7H12O3",144.17,"C16590","Not_Access","80588",1,"Endogenous Metabolites"
"Caprylic acid","Caprylic acid",TRUE,379,"octanoic acid","C8H16O2",144.21,"C06423","HMDB0000482","28837",1,"Endogenous Metabolites"
"Valproic acid","Valproic acid",TRUE,3121,"2-propylpentanoic acid","C8H16O2",144.21,"C07185","HMDB0001877","39867",1,"Therapeutics/Prescription Drugs"
"Stachydrine","Stachydrine",TRUE,115244,"(2S)-1,1-dimethylpyrrolidin-1-ium-2-carboxylate","C7H13NO2",143.18,"C10172","HMDB0004827","35280",1,"Endogenous Metabolites"
"Adipic acid","Adipic acid",TRUE,196,"hexanedioic acid","C6H10O4",146.14,"C06104","HMDB0000448","30832",1,"Endogenous Metabolites"
"Methyl DL-Leucate","Methyl DL-Leucate",TRUE,62908,"methyl 2-hydroxy-4-methylpentanoate","C7H14O3",146.18,"Not_Access","HMDB0036231","169035",1,NA
"3-hydroxyheptanoic acid","3-hydroxyheptanoic acid",TRUE,3083220,"3-hydroxyheptanoic acid","C7H14O3",146.18,"Not_Access","HMDB0061653","132838",1,"Therapeutics/Prescription Drugs"
"3-hydroxy-4-methylhexanoate","3-hydroxy-4-methylhexanoate",TRUE,22716859,"3-hydroxy-4-methylhexanoate","C7H13O3-",145.18,"Not_Access","Not_Access","Not_Access",1,NA
"Methyl leucinate","Methyl leucinate",TRUE,410817,"methyl 2-amino-4-methylpentanoate","C7H15NO2",145.2,"Not_Access","HMDB0254597","Not_Access",1,NA
"7-Aminoheptanoic acid","7-Aminoheptanoic acid",TRUE,13580,"7-aminoheptanoic acid","C7H15NO2",145.2,"Not_Access","HMDB0247233","181436",1,NA
"beta-homoleucine","beta-homoleucine",TRUE,52940098,"3-azaniumyl-5-methylhexanoate","C7H15NO2",145.2,"Not_Access","Not_Access","Not_Access",1,NA
"Spermidine","Spermidine",TRUE,1102,"N'-(3-aminopropyl)butane-1,4-diamine","C7H19N3",145.25,"C00315","HMDB0001257","16610",1,"Endogenous Metabolites"
"Lysine","Lysine",TRUE,5962,"(2S)-2,6-diaminohexanoic acid","C6H14N2O2",146.19,"C00047","HMDB0000182","18019",1,"Endogenous Metabolites"
"Glutamate","glutamate",TRUE,33032,"(2S)-2-aminopentanedioic acid","C5H9NO4",147.13,"C00025","HMDB0000148","53374",1,"Endogenous Metabolites"
"Thymol","Thymol",TRUE,6989,"5-methyl-2-propan-2-ylphenol","C10H14O",150.22,"C09908","HMDB0001878","27607",1,NA
"Methionine","methionine",TRUE,6137,"(2S)-2-amino-4-methylsulfanylbutanoic acid","C5H11NO2S",149.21,"C00073","HMDB0000696","16643",1,"Endogenous Metabolites"
"2,6-Dimethyl-4-hydroxybenzaldehyde","2,6-Dimethyl-4-hydroxybenzaldehyde",TRUE,591072,"4-hydroxy-2,6-dimethylbenzaldehyde","C9H10O2",150.17,"Not_Access","Not_Access","Not_Access",1,NA
"Oxypurinol","Oxypurinol",TRUE,135398752,"1,7-dihydropyrazolo[3,4-d]pyrimidine-4,6-dione","C5H4N4O2",152.11,"C07599","HMDB0000786","28315",1,NA
"Xanthine","Xanthine",TRUE,1188,"3,7-dihydropurine-2,6-dione","C5H4N4O2",152.11,"C00385","HMDB0000292","17712",1,"Endogenous Metabolites"
"Guanine","Guanine",TRUE,135398634,"2-amino-1,7-dihydropurin-6-one","C5H5N5O",151.13,"C00242","HMDB0000132","16235",1,"Endogenous Metabolites"
"2-Hydroxyadenine","2-Hydroxyadenine",TRUE,76900,"6-amino-1,7-dihydropurin-2-one","C5H5N5O",151.13,"Not_Access","HMDB0000403","62462",1,NA
"N1-Methyl-2-pyridone-5-carboxamide","N1-Methyl-2-pyridone-5-carboxamide",TRUE,69698,"1-methyl-6-oxopyridine-3-carboxamide","C7H8N2O2",152.15,"C05842","HMDB0004193","27410",1,NA
"N1-Methyl-4-pyridone-3-carboxamide","N1-Methyl-4-pyridone-3-carboxamide",TRUE,440810,"1-methyl-4-oxopyridine-3-carboxamide","C7H8N2O2",152.15,"C05843","HMDB0004194","27838",1,NA
"Vanillin","Vanillin",TRUE,1183,"4-hydroxy-3-methoxybenzaldehyde","C8H8O3",152.15,"C00755","HMDB0012308","18346",1,"Endogenous Metabolites"
"2',6'-Dihydroxyacetophenone","2',6'-Dihydroxyacetophenone",TRUE,69687,"1-(2,6-dihydroxyphenyl)ethanone","C8H8O3",152.15,"Not_Access","HMDB0029660","173644",1,NA
"3-hydroxy-5-methyl-benzoate","3-hydroxy-5-methyl-benzoate",TRUE,54711413,"3-carboxy-5-methylphenolate","C8H7O3-",151.14,"Not_Access","Not_Access","Not_Access",1,NA
"2-methoxybenzoate","2-methoxybenzoate",TRUE,6950218,"2-methoxybenzoate","C8H7O3-",151.14,"Not_Access","Not_Access","59128",1,"Endogenous Metabolites"
"2-Furanylmethyl propanoate","2-Furanylmethyl propanoate",TRUE,61166,"furan-2-ylmethyl propanoate","C8H10O3",154.16,"Not_Access","HMDB0037728","173660",1,"Therapeutics/Prescription Drugs"
"2,4-Hexadienyl propionate","2,4-Hexadienyl propionate",TRUE,6386721,"[(2E,4E)-hexa-2,4-dienyl] propanoate","C9H14O2",154.21,"Not_Access","HMDB0032314","180436",1,NA
"8-Hydroxy-5,6-octadienoic acid","8-hydroxy-5,6-octadienoic acid",TRUE,54042244,NA,"C8H12O3",156.18,"Not_Access","HMDB0031101","169068",1,NA
"non-3-enate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Histidine","Histidine",TRUE,6274,"(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid","C6H9N3O2",155.15,"C00135","HMDB0000177","15971",1,"Endogenous Metabolites"
"(1-Hydroxycyclohexyl)acetic acid","(1-Hydroxycyclohexyl)acetic acid",TRUE,248153,"2-(1-hydroxycyclohexyl)acetic acid","C8H14O3",158.19,"Not_Access","Not_Access","37276",1,NA
"5-Oxooctanoic acid","5-Oxooctanoic acid",TRUE,280190,"5-oxooctanoic acid","C8H14O3",158.19,"Not_Access","Not_Access","180337",1,NA
"Hexyl acrylate","Hexyl acrylate",TRUE,17259,"hexyl prop-2-enoate","C9H16O2",156.22,"Not_Access","HMDB0253165","Not_Access",1,NA
"Pimelic acid","Pimelic acid",TRUE,385,"heptanedioic acid","C7H12O4",160.17,"C02656","HMDB0000857","30531",1,"Endogenous Metabolites"
"3-Methyladipic acid","3-Methyladipic acid",TRUE,12292,"3-methylhexanedioic acid","C7H12O4",160.17,"Not_Access","Not_Access","68503",1,"Endogenous Metabolites"
"Propyleneglycol diacetate","Propyleneglycol diacetate",TRUE,12198,"2-acetyloxypropyl acetate","C7H12O4",160.17,"Not_Access","HMDB0041605","173692",1,NA
"2-Propylsuccinic acid","2-Propylsuccinic acid",TRUE,3031829,"2-propylbutanedioic acid","C7H12O4",160.17,"C16657","Not_Access","80643",1,"Endogenous Metabolites"
"Diethyl malonate","Diethyl malonate",TRUE,7761,"diethyl propanedioate","C7H12O4",160.17,"Not_Access","HMDB0029573","167785",1,"Endogenous Metabolites"
"2-Hydroxyoctanoic acid","2-Hydroxyoctanoic acid",TRUE,94180,"2-hydroxyoctanoic acid","C8H16O3",160.21,"Not_Access","HMDB0000711","86543",1,NA
"5-Hydroxyvalproic acid","5-Hydroxyvalproic acid",TRUE,135244,"5-hydroxy-2-propylpentanoic acid","C8H16O3",160.21,"C16650","HMDB0013898","80636",1,NA
"2-Aminooctanoic acid","2-Aminooctanoic acid",TRUE,69522,"2-aminooctanoic acid","C8H17NO2",159.23,"Not_Access","HMDB0000991","75145",1,"Endogenous Metabolites"
"Carnitine","Carnitine",TRUE,288,"3-hydroxy-4-(trimethylazaniumyl)butanoate","C7H15NO3",161.2,"Not_Access","Not_Access","17126",1,"Endogenous Metabolites"
"3-Diethylaminophenol","3-Diethylaminophenol",TRUE,7062,"3-(diethylamino)phenol","C10H15NO",165.23,"Not_Access","Not_Access","Not_Access",1,NA
"Desaminotyrosine","Desaminotyrosine",TRUE,10394,"3-(4-hydroxyphenyl)propanoic acid","C9H10O3",166.17,"C01744","HMDB0002199","32980",1,"Endogenous Metabolites"
"Ethyl 3-hydroxybenzoate","Ethyl 3-hydroxybenzoate",TRUE,24522,"ethyl 3-hydroxybenzoate","C9H10O3",166.17,"Not_Access","Not_Access","Not_Access",1,NA
"Ethyl 4-hydroxybenzoate","Ethyl 4-hydroxybenzoate",TRUE,8434,"ethyl 4-hydroxybenzoate","C9H10O3",166.17,"Not_Access","HMDB0032573","31575",1,"Endogenous Metabolites"
"Duroquinone","Duroquinone",TRUE,68238,"2,3,5,6-tetramethylcyclohexa-2,5-diene-1,4-dione","C10H12O2",164.2,"Not_Access","Not_Access","42023",1,NA
"7-Methylguanine","7-Methylguanine",TRUE,135398679,"2-amino-7-methyl-1H-purin-6-one","C6H7N5O",165.15,"C02242","HMDB0000897","28664",1,"Endogenous Metabolites"
"1-Methylguanine","1-Methylguanine",TRUE,70315,"2-amino-1-methyl-7H-purin-6-one","C6H7N5O",165.15,"Not_Access","HMDB0003282","21803",1,"Endogenous Metabolites"
"Phenyl-Alanine","Phenyl-Alanine",TRUE,817923,"(2S)-2-anilinopropanoic acid","C9H11NO2",165.19,"Not_Access","Not_Access","Not_Access",1,"Endogenous Metabolites"
"5-(3-Pyridyl)-2-hydroxytetrahydrofuran","5-(3-Pyridyl)-2-hydroxytetrahydrofuran",TRUE,179630,"5-pyridin-3-yloxolan-2-ol","C9H11NO2",165.19,"C19578","HMDB0062407","82572",1,NA
"Benzocaine","Benzocaine",TRUE,2337,"ethyl 4-aminobenzoate","C9H11NO2",165.19,"C07527","HMDB0004992","116735",1,"Therapeutics/Prescription Drugs"
"Phenylalanine","Phenylalanine",TRUE,6140,"(2S)-2-amino-3-phenylpropanoic acid","C9H11NO2",165.19,"C00079","HMDB0000159","17295",1,"Endogenous Metabolites"
"Methionine sulfoxide","Methionine sulfoxide",TRUE,158980,"(2S)-2-amino-4-methylsulfinylbutanoic acid","C5H11NO3S",165.21,"C02989","HMDB0002005","17016",1,"Endogenous Metabolites"
"Uric acid","Uric acid",TRUE,1175,"7,9-dihydro-3H-purine-2,6,8-trione","C5H4N4O3",168.11,"C00366","HMDB0000289","17775",1,"Endogenous Metabolites"
"4-Ethoxybenzoic acid","4-Ethoxybenzoic acid",TRUE,12093,"4-ethoxybenzoic acid","C9H10O3",166.17,"Not_Access","Not_Access","Not_Access",1,"Endogenous Metabolites"
"4-Ipomeanol","4-Ipomeanol",TRUE,36284,"1-(furan-3-yl)-4-hydroxypentan-1-one","C9H12O3",168.19,"Not_Access","HMDB0030472","173764",1,NA
"Ethyl 2-furanpropionate","Ethyl 2-furanpropionate",TRUE,61450,"ethyl 3-(furan-2-yl)propanoate","C9H12O3",168.19,"Not_Access","HMDB0032921","173767",1,NA
"(3,4-Dimethoxyphenyl)methanol","(3,4-Dimethoxyphenyl)methanol",TRUE,7118,"(3,4-dimethoxyphenyl)methanol","C9H12O3",168.19,"C21420","Not_Access","62150",1,NA
"3,5-Hexadienyl butyrate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8-Methyl-6-nonenoic acid","8-Methyl-6-nonenoic acid",TRUE,5365959,"(E)-8-methylnon-6-enoic acid","C10H18O2",170.25,"C18202","HMDB0012183","81581",1,NA
"cis-3-Hexenyl pyruvate","cis-3-Hexenyl pyruvate",TRUE,5363291,"[(Z)-hex-3-enyl] 2-oxopropanoate","C9H14O3",170.21,"Not_Access","HMDB0038276","173782",1,NA
"2-Octenedioic acid","2-Octenedioic acid",TRUE,6079438,"(E)-oct-2-enedioic acid","C8H12O4",172.18,"Not_Access","HMDB0000341","89192",1,NA
"2-Methylpropyl 3-hydroxy-2-methylidenebutanoate","2-Methylpropyl 3-hydroxy-2-methylidenebutanoate",TRUE,546207,"2-methylpropyl 3-hydroxy-2-methylidenebutanoate","C9H16O3",172.22,"Not_Access","HMDB0040203","171944",1,NA
"3-hydroxy-4-methyloct-6-enoate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-Methylbutyl 3-oxobutanoate","3-Methylbutyl 3-oxobutanoate",TRUE,61296,"3-methylbutyl 3-oxobutanoate","C9H16O3",172.22,"Not_Access","HMDB0036396","171946",1,NA
"9-Oxononanoic acid","9-Oxononanoic acid",TRUE,75704,"9-oxononanoic acid","C9H16O3",172.22,"C16322","HMDB0094711","78700",1,NA
"4-hydroperoxyoctadeca-t-2-nonenal","4-hydroperoxyoctadeca-t-2-nonenal",TRUE,6435432,"(E)-4-hydroperoxynon-2-enal","C9H16O3",172.22,"Not_Access","HMDB0060287","171939",1,NA
"N-Acetylisoleucine","N-Acetylisoleucine",TRUE,7036275,"(2S,3S)-2-acetamido-3-methylpentanoic acid","C8H15NO3",173.21,"Not_Access","HMDB0061684","21555",1,NA
"Isovalerylsarcosine","Isovalerylsarcosine",TRUE,137394,"2-[methyl(3-methylbutanoyl)amino]acetic acid","C8H15NO3",173.21,"Not_Access","HMDB0002087","136917",1,NA
"Isovalerylalanine","Isovalerylalanine",TRUE,129285,"(2S)-2-(3-methylbutanoylamino)propanoic acid","C8H15NO3",173.21,"Not_Access","HMDB0000747","136818",1,NA
"cis-Aconitic acid","cis-Aconitic acid",TRUE,643757,"(Z)-prop-1-ene-1,2,3-tricarboxylic acid","C6H6O6",174.11,"C00417","HMDB0000072","32805",1,"Endogenous Metabolites"
"Phenylsulfate","Phenylsulfate",TRUE,74426,"phenyl hydrogen sulfate","C6H6O4S",174.18,"C02180","HMDB0060015","27905",1,NA
"sn-Glycerol 3-phosphate","sn-Glycerol 3-phosphate",TRUE,439162,"[(2R)-2,3-dihydroxypropyl] dihydrogen phosphate","C3H9O6P",172.07,"C00093","HMDB0000126","15978",1,"Endogenous Metabolites"
"Suberic acid","Suberic acid",TRUE,10457,"octanedioic acid","C8H14O4",174.19,"C08278","HMDB0000893","9300",1,"Endogenous Metabolites"
"2-methylpropyl 2-methyl-3-oxobutanoate","2-methylpropyl 2-methyl-3-oxobutanoate",TRUE,13724657,"2-methylpropyl 2-methyl-3-oxobutanoate","C9H16O3",172.22,"Not_Access","Not_Access","Not_Access",1,NA
"N5-Ethyl-glutamine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Formyllysine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"valyl-glycine","valyl-glycine",TRUE,6993111,"2-[[(2S)-2-amino-3-methylbutanoyl]amino]acetic acid","C7H14N2O3",174.2,"Not_Access","HMDB0029127","73699",1,NA
"4-Methyl-1-phenyl-2-pentanone","4-Methyl-1-phenyl-2-pentanone",TRUE,219672,"4-methyl-1-phenylpentan-2-one","C12H16O",176.25,"Not_Access","HMDB0031569","169560",1,NA
"1-Phenyl-2-hexanone","1-Phenyl-2-hexanone",TRUE,33191,"1-phenylhexan-2-one","C12H16O",176.25,"Not_Access","HMDB0094661","145957",1,NA
"Ethyl cinnamate","Ethyl cinnamate",TRUE,637758,"ethyl (E)-3-phenylprop-2-enoate","C11H12O2",176.21,"C06359","Not_Access","4895",1,"Endogenous Metabolites"
"2-Propenyl phenylacetate","2-Propenyl phenylacetate",TRUE,15717,"prop-2-enyl 2-phenylacetate","C11H12O2",176.21,"Not_Access","HMDB0036905","168585",1,NA
"3-Succinoylpyridine","3-Succinoylpyridine",TRUE,437,"4-oxo-4-pyridin-3-ylbutanoic acid","C9H9NO3",179.17,"C19569","HMDB0000992","66951",1,"Endogenous Metabolites"
"Hippuric acid","Hippuric acid",TRUE,464,"2-benzamidoacetic acid","C9H9NO3",179.17,"C01586","HMDB0000714","18089",1,"Endogenous Metabolites"
"2,2-Dimethyl-3,4-dihydro-2H-1,4-benzoxazin-3-one","2,2-Dimethyl-3,4-dihydro-2H-1,4-benzoxazin-3-one",TRUE,10607395,"2,2-dimethyl-4H-1,4-benzoxazin-3-one","C10H11NO2",177.2,"Not_Access","Not_Access","Not_Access",1,NA
"5-Hydroxytryptophol (5HTOL)","5-Hydroxytryptophol",TRUE,9061,"3-(2-hydroxyethyl)-1H-indol-5-ol","C10H11NO2",177.2,"Not_Access","HMDB0001855","89825",0.8261,NA
"3-(4-Methoxyphenyl)propanoic acid","3-(4-Methoxyphenyl)propanoic acid",TRUE,95750,"3-(4-methoxyphenyl)propanoic acid","C10H12O3",180.2,"Not_Access","Not_Access","Not_Access",1,NA
"3-(3-Methoxyphenyl)propanoic acid","3-(3-Methoxyphenyl)propanoic acid",TRUE,66336,"3-(3-methoxyphenyl)propanoic acid","C10H12O3",180.2,"Not_Access","HMDB0011751","88439",1,NA
"Propyl paraben","Propyl paraben",TRUE,7175,"propyl 4-hydroxybenzoate","C10H12O3",180.2,"Not_Access","HMDB0032574","32063",1,"Endogenous Metabolites"
"3-(4-Hydroxy-2-methoxyphenyl)-2-propenal","3-(4-Hydroxy-2-methoxyphenyl)-2-propenal",TRUE,5374604,"(E)-3-(4-hydroxy-2-methoxyphenyl)prop-2-enal","C10H10O3",178.18,"Not_Access","HMDB0039471","189757",1,NA
"4-methoxycinnamate","Ethyl 4-Methoxycinnamate",TRUE,5281783,"ethyl (E)-3-(4-methoxyphenyl)prop-2-enoate","C12H14O3",206.24,"C10476","HMDB0030762","228868",0.8571,NA
"trans-2-Methoxycinnamic acid","trans-2-Methoxycinnamic acid",TRUE,734154,"(E)-3-(2-methoxyphenyl)prop-2-enoic acid","C10H10O3",178.18,"Not_Access","HMDB0302514","136676",1,"Endogenous Metabolites"
"Phenyl valerate","Phenyl valerate",TRUE,29950,"phenyl pentanoate","C11H14O2",178.23,"Not_Access","HMDB0256425","Not_Access",1,NA
"p-Tolyl isobutyrate","p-Tolyl isobutyrate",TRUE,7685,"(4-methylphenyl) 2-methylpropanoate","C11H14O2",178.23,"Not_Access","HMDB0037708","173829",1,NA
"Isopropyl phenylacetate","Isopropyl phenylacetate",TRUE,62553,"propan-2-yl 2-phenylacetate","C11H14O2",178.23,"Not_Access","HMDB0040426","173835",1,NA
"Phenacetin","Phenacetin",TRUE,4754,"N-(4-ethoxyphenyl)acetamide","C10H13NO2",179.22,"C07591","HMDB0256387","8050",1,"Therapeutics/Prescription Drugs"
"phenylalanine methyl ester","phenylalanine methyl ester",TRUE,736234,"methyl (2S)-2-amino-3-phenylpropanoate","C10H13NO2",179.22,"Not_Access","Not_Access","49339",1,"Excipients/Additives/Colorants"
"Methyl N,N-dimethylanthranilate","Methyl N,N-dimethylanthranilate",TRUE,82336,"methyl 2-(dimethylamino)benzoate","C10H13NO2",179.22,"Not_Access","HMDB0303257","Not_Access",1,NA
"o-Tyrosine","o-Tyrosine",TRUE,91482,"2-amino-3-(2-hydroxyphenyl)propanoic acid","C9H11NO3",181.19,"Not_Access","HMDB0006050","91038",1,"Endogenous Metabolites"
"Homovanillate","Homovanillate",TRUE,1738,"2-(4-hydroxy-3-methoxyphenyl)acetic acid","C9H10O4",182.17,"C05582","HMDB0000118","545959",1,NA
